task_id	name	status	exit	realtime	peak_vmem	peak_rss	memory	submit	complete
1	set_analysis_parameters (1)	CACHED	0	10s	1.1 GB	366.3 MB	4 GB	2024-04-24 13:29:05.351	2024-04-24 13:29:22.391
2	prepare_assign_grnas (1)	CACHED	0	3.8s	871.7 MB	257.2 MB	4 GB	2024-04-24 13:29:25.113	2024-04-24 13:29:32.391
5	assign_grnas (2)	CACHED	0	7m 22s	1.2 GB	471.7 MB	4 GB	2024-04-24 13:29:35.240	2024-04-24 13:37:02.419
6	assign_grnas (3)	CACHED	0	7m 21s	1.2 GB	469.2 MB	4 GB	2024-04-24 13:29:37.766	2024-04-24 13:37:02.425
4	assign_grnas (1)	CACHED	0	7m 31s	1.2 GB	472.5 MB	4 GB	2024-04-24 13:29:45.467	2024-04-24 13:37:22.418
7	assign_grnas (4)	CACHED	0	7m 21s	1.2 GB	473.2 MB	4 GB	2024-04-24 13:29:42.890	2024-04-24 13:37:07.424
8	assign_grnas (5)	CACHED	0	7m 25s	1.2 GB	470.9 MB	4 GB	2024-04-24 13:29:47.938	2024-04-24 13:37:17.419
9	assign_grnas (6)	CACHED	0	7m 21s	1.2 GB	472.6 MB	4 GB	2024-04-24 13:29:40.301	2024-04-24 13:37:07.419
13	assign_grnas (10)	CACHED	0	7m 25s	1.2 GB	473.4 MB	4 GB	2024-04-24 13:29:52.888	2024-04-24 13:37:22.424
11	assign_grnas (8)	CACHED	0	7m 22s	1.2 GB	473 MB	4 GB	2024-04-24 13:29:50.375	2024-04-24 13:37:17.426
10	assign_grnas (7)	CACHED	0	7m 33s	1.2 GB	475.9 MB	4 GB	2024-04-24 13:29:55.326	2024-04-24 13:37:32.418
14	assign_grnas (11)	CACHED	0	7m 30s	1.2 GB	471.3 MB	4 GB	2024-04-24 13:30:07.746	2024-04-24 13:37:42.418
16	assign_grnas (13)	CACHED	0	7m 20s	1.2 GB	470.8 MB	4 GB	2024-04-24 13:30:00.343	2024-04-24 13:37:22.430
17	assign_grnas (14)	CACHED	0	7m 27s	1.2 GB	467.6 MB	4 GB	2024-04-24 13:30:02.784	2024-04-24 13:37:32.424
12	assign_grnas (9)	CACHED	0	7m 23s	1.2 GB	472.7 MB	4 GB	2024-04-24 13:29:57.897	2024-04-24 13:37:27.419
15	assign_grnas (12)	CACHED	0	7m 20s	1.2 GB	469.7 MB	4 GB	2024-04-24 13:30:05.208	2024-04-24 13:37:27.427
19	assign_grnas (16)	CACHED	0	7m 41s	1.2 GB	470.4 MB	4 GB	2024-04-24 13:30:18.036	2024-04-24 13:38:02.431
18	assign_grnas (15)	CACHED	0	8m 8s	1.2 GB	472.8 MB	4 GB	2024-04-24 13:30:10.344	2024-04-24 13:38:22.420
