task_id	name	status	exit	realtime	peak_rss	submit	start	complete
1	set_analysis_parameters (1)	COMPLETED	0	9.9s	364.7 MB	2024-04-25 01:21:50.856	2024-04-25 01:33:03.106	2024-04-25 01:33:13.107
2	prepare_assign_grnas (1)	COMPLETED	0	3.6s	247.5 MB	2024-04-25 01:33:15.441	2024-04-25 01:33:18.106	2024-04-25 01:33:23.106
28	assign_grnas (25)	COMPLETED	0	9m 1s	475.7 MB	2024-04-25 01:33:25.383	2024-04-25 01:33:28.105	2024-04-25 01:42:28.138
11	assign_grnas (8)	COMPLETED	0	9m 5s	473.1 MB	2024-04-25 01:33:27.592	2024-04-25 01:33:33.106	2024-04-25 01:42:38.139
20	assign_grnas (17)	COMPLETED	0	9m 4s	468.1 MB	2024-04-25 01:33:29.804	2024-04-25 01:33:33.108	2024-04-25 01:42:38.144
25	assign_grnas (22)	COMPLETED	0	9m 8s	471.4 MB	2024-04-25 01:33:31.998	2024-04-25 01:33:33.110	2024-04-25 01:42:43.138
16	assign_grnas (13)	COMPLETED	0	9m 3s	474.4 MB	2024-04-25 01:33:34.143	2024-04-25 01:33:38.109	2024-04-25 01:42:43.144
5	assign_grnas (2)	COMPLETED	0	9m 2s	470 MB	2024-04-25 01:33:36.303	2024-04-25 01:33:38.111	2024-04-25 01:42:43.148
26	assign_grnas (23)	COMPLETED	0	9m 9s	474.2 MB	2024-04-25 01:33:38.436	2024-04-25 01:33:43.110	2024-04-25 01:42:53.138
22	assign_grnas (19)	COMPLETED	0	9m 13s	468.7 MB	2024-04-25 01:33:40.560	2024-04-25 01:33:43.113	2024-04-25 01:42:58.138
24	assign_grnas (21)	COMPLETED	0	9m 15s	470.3 MB	2024-04-25 01:33:42.786	2024-04-25 01:33:48.113	2024-04-25 01:43:03.142
23	assign_grnas (20)	COMPLETED	0	9m 13s	470.9 MB	2024-04-25 01:33:44.956	2024-04-25 01:33:48.115	2024-04-25 01:43:03.152
10	assign_grnas (7)	COMPLETED	0	9m 11s	477.5 MB	2024-04-25 01:33:47.223	2024-04-25 01:33:53.119	2024-04-25 01:43:03.157
19	assign_grnas (16)	COMPLETED	0	9m 10s	471.3 MB	2024-04-25 01:33:49.406	2024-04-25 01:33:53.121	2024-04-25 01:43:03.161
9	assign_grnas (6)	COMPLETED	0	9m 13s	475.2 MB	2024-04-25 01:33:51.550	2024-04-25 01:33:53.123	2024-04-25 01:43:08.139
7	assign_grnas (4)	COMPLETED	0	9m 10s	474.7 MB	2024-04-25 01:33:56.083	2024-04-25 01:33:58.126	2024-04-25 01:43:13.140
14	assign_grnas (11)	COMPLETED	0	9m 18s	470.2 MB	2024-04-25 01:33:53.803	2024-04-25 01:33:58.124	2024-04-25 01:43:18.140
8	assign_grnas (5)	COMPLETED	0	9m 14s	470.2 MB	2024-04-25 01:33:58.391	2024-04-25 01:34:03.125	2024-04-25 01:43:18.148
31	assign_grnas (28)	COMPLETED	0	9m 14s	472.1 MB	2024-04-25 01:34:02.742	2024-04-25 01:34:08.124	2024-04-25 01:43:23.140
